Lineage,MIN(collection_date),数量
B.1.470,2020-04-09,773
B.1.471,2020-03-25,373
B.1.473,2020-04-01,49
B.1.474,2020-09-21,509
B.1.475,2020-04-05,7
B.1.476,2020-03-29,6
B.1.478,2020-05-10,119
B.1.479,2020-03-25,26
B.1.480,2020-07-03,433
B.1.482,2020-03-17,13
B.1.483,2020-03-15,12
B.1.485,2020-03-25,59
B.1.486,2020-04-28,9
B.1.487,2020-05-24,57
B.1.488,2020-07-13,5
B.1.489,2020-03-26,21
B.1.490,2020-04-20,10
B.1.491,2020-03-14,17
B.1.492,2020-02-02,141
B.1.493,2020-04-03,40
B.1.494,2020-03-05,40
B.1.495,2020-04-19,115
B.1.496,2020-03-15,34
B.1.497,2020-05-05,3181
B.1.498,2020-04-27,45
B.1.499,2020-01-01,1059
B.1.499.1,2020-11-30,6
B.1.500,2020-07-27,12
B.1.501,2020-04-27,141
B.1.502,2020-04-11,20
B.1.503,2020-04-01,408
B.1.504,2020-04-19,34
B.1.505,2020-03-15,297
B.1.506,2020-04-20,37
B.1.507,2020-03-15,109
B.1.508,2020-04-28,40
B.1.509,2020-04-18,1263
B.1.510,2020-03-06,19
B.1.511,2020-05-02,25
B.1.513,2020-03-09,73
B.1.515,2020-04-17,67
B.1.516,2020-03-11,545
B.1.517,2020-04-26,2458
B.1.517.1,2020-12-02,188
B.1.518,2020-03-21,90
B.1.520,2020-03-25,42
B.1.521,2020-03-21,212
B.1.523,2020-03-29,407
B.1.524,2020-08-22,742
B.1.525,2020-03-25,9654
B.1.526,2020-01-28,43622
B.1.527,2020-03-18,258
B.1.528,2020-04-23,21
B.1.529,2020-04-02,18
B.1.530,2020-09-11,180
B.1.531,2020-11-18,13
B.1.532,2020-07-04,161
B.1.533,2020-03-24,79
B.1.534,2020-11-02,81
B.1.535,2020-03-25,33
B.1.536,2020-10-16,56
B.1.537,2020-05-24,46
B.1.538,2020-05-16,84
B.1.539,2020-10-25,68
B.1.540,2020-03-27,78
B.1.541,2020-07-01,236
B.1.542,2020-03-24,31
B.1.543,2020-08-30,104
B.1.544,2020-06-25,189
B.1.545,2020-03-25,71
B.1.546,2020-05-23,278
B.1.547,2020-03-13,60
B.1.548,2020-05-29,29
B.1.549,2020-05-11,243
B.1.550,2020-10-03,71
B.1.551,2020-06-09,1131
B.1.552,2020-03-30,64
B.1.554,2020-04-21,98
B.1.555,2020-03-11,44
B.1.556,2020-06-10,143
B.1.557,2020-04-06,20
B.1.558,2020-04-06,281
B.1.559,2020-03-29,40
B.1.560,2020-05-13,1381
B.1.561,2020-06-18,3107
B.1.562,2020-10-10,52
B.1.563,2020-12-06,73
B.1.564,2020-03-11,3599
B.1.564.1,2020-08-23,373
B.1.565,2020-06-18,1946
B.1.566,2020-03-16,112
B.1.567,2020-03-23,307
B.1.568,2020-10-05,941
B.1.569,2020-07-21,72
B.1.570,2020-05-26,440
B.1.571,2020-06-01,107
B.1.572,2020-04-02,43
B.1.573,2020-06-24,166
B.1.574,2020-06-07,459
B.1.575,2020-10-23,3476
B.1.575.1,2020-11-30,392
B.1.575.2,2021-05-07,211
B.1.576,2020-03-25,908
B.1.577,2020-04-04,1554
B.1.578,2020-03-17,64
B.1.579,2020-04-05,93
B.1.580,2020-07-20,74
B.1.581,2020-03-22,106
B.1.582,2020-05-27,2278
B.1.585,2020-10-13,37
B.1.586,2020-03-12,93
B.1.587,2020-04-23,673
B.1.588,2020-08-02,1313
B.1.588.1,2020-11-28,26
B.1.589,2020-03-15,130
B.1.590,2020-03-15,206
B.1.591,2020-08-17,144
B.1.592,2020-03-30,26
B.1.593,2020-09-11,87
B.1.594,2020-03-27,31
B.1.595,2020-03-09,4642
B.1.595.1,2020-05-16,175
B.1.595.2,2020-06-14,34
B.1.595.3,2020-06-27,39
B.1.595.4,2020-04-20,283
B.1.596,2020-04-11,2709
B.1.596.1,2020-08-03,93
B.1.597,2020-03-24,130
B.1.598,2020-03-30,65
B.1.599,2020-05-20,326
B.1.6,2020-03-05,59
B.1.600,2020-04-07,146
B.1.601,2020-10-19,33
B.1.602,2020-07-07,218
B.1.603,2020-11-10,101
B.1.604,2020-07-24,58
B.1.605,2020-04-08,186
B.1.606,2020-05-21,160
B.1.607,2020-03-29,19
B.1.609,2020-03-10,2106
B.1.610,2020-06-11,279
B.1.611,2020-06-09,28
B.1.612,2020-03-11,793
B.1.613,2020-04-06,37
B.1.614,2020-06-15,9
B.1.615,2020-07-26,31
B.1.616,2021-01-29,37
B.1.617,2021-02-25,1
B.1.617.1,2020-03-03,8025
B.1.617.2,2020-03-27,240217
B.1.617.3,2021-01-03,324
B.1.618,2020-10-25,233
B.1.619,2020-03-10,1148
B.1.619.1,2021-02-22,1625
B.1.620,2020-04-05,1375
B.1.621,2020-12-15,12871
B.1.621.1,2021-04-09,2100
B.1.621.2,2021-04-11,840
B.1.622,2021-01-19,75
B.1.623,2020-07-08,1884
B.1.625,2020-06-03,494
B.1.626,2021-04-15,268
B.1.627,2021-01-09,503
B.1.629,2021-02-23,70
B.1.630,2021-03-17,201
B.1.631,2020-12-16,314
B.1.632,2021-04-19,165
B.1.633,2021-03-17,18
B.1.634,2021-03-02,310
B.1.635,2021-01-16,58
B.1.636,2020-03-23,118
B.1.637,2020-05-29,14103
B.1.637.1,2021-09-21,79
B.1.638,2021-04-09,18
B.1.639,2021-01-19,57
B.1.640.1,2021-01-01,1124
B.1.640.2,2021-10-15,59
B.1.641,2021-11-03,5
B.1.67,2020-03-23,24
B.1.69,2020-03-06,27
B.1.70,2020-03-13,38
B.1.76,2020-02-24,91
B.1.77,2020-05-18,22
B.1.78,2020-03-12,111
B.1.8,2020-03-04,598
B.1.81,2020-03-18,47
B.1.83,2020-03-20,66
B.1.84,2020-03-31,48
B.1.9,2020-03-04,164
B.1.9.1,2020-03-31,31
B.1.9.2,2020-04-20,10
B.1.9.3,2020-03-17,27
B.1.9.4,2020-06-16,200
B.1.9.5,2020-03-14,163
B.1.91,2020-02-21,472
B.1.93,2020-03-06,1085
B.1.94,2020-03-15,42
B.1.96,2020-04-01,42
B.1.97,2020-03-24,40
B.10,2020-03-12,126
B.11,2020-02-27,227
B.12,2020-01-20,134
B.13,2020-04-03,21
B.15,2020-03-11,56
B.18,2020-03-16,24
B.19,2020-03-29,28
B.20,2020-03-31,43
B.23,2020-02-28,335
B.26,2020-03-17,67
B.27,2020-03-03,65
B.28,2020-03-06,311
B.29,2020-02-27,279
B.3,2020-02-23,1164
B.3.1,2020-01-21,616
B.30,2020-03-09,69
B.31,2020-03-03,272
B.32,2020-03-13,37
B.33,2020-03-03,49
B.34,2020-03-13,72
B.35,2020-03-05,122
B.36,2020-03-13,13
B.37,2020-03-12,31
B.38,2020-03-07,43
B.39,2020-02-25,414
B.4,2020-01-18,439
B.4.1,2020-03-22,27
B.4.2,2020-02-25,15
B.4.4,2020-03-10,58
B.4.5,2020-03-09,85
B.4.6,2020-02-29,73
B.4.7,2020-03-14,67
B.4.8,2020-05-17,17
B.40,2020-02-09,2686
B.41,2020-02-06,127
B.42,2020-01-26,31
B.43,2020-01-30,67
B.44,2020-03-17,10
B.45,2020-03-13,261
B.46,2020-03-18,49
B.47,2020-03-06,38
B.49,2020-03-09,20
B.5,2020-02-05,28
B.50,2020-03-14,9
B.51,2020-03-18,21
B.52,2020-03-12,99
B.53,2020-02-07,85
B.55,2020-01-29,248
B.56,2020-03-14,35
B.57,2020-03-02,65
B.58,2020-03-04,93
B.6,2020-02-14,1032
B.6.1,2020-03-11,38
B.6.2,2020-05-23,16
B.6.3,2020-03-10,37
B.6.4,2020-04-18,22
B.6.5,2020-03-19,15
B.6.6,2020-03-10,1017
B.6.8,2020-01-15,179
B.60,2020-03-04,54
B.61,2020-02-09,177
BA.1,2020-05-25,470896
BA.1.1,2020-06-11,1014124
BA.1.1.1,2020-10-29,62477
BA.1.1.10,2021-11-29,3670
BA.1.1.11,2021-01-01,4218
BA.1.1.12,2021-12-06,4043
BA.1.1.13,2021-11-30,8404
BA.1.1.14,2020-12-10,19820
BA.1.1.15,2021-04-29,17096
BA.1.1.16,2021-12-02,4633
BA.1.1.17,2021-01-12,628
BA.1.1.18,2020-08-27,69710
BA.1.1.2,2021-01-06,59980
BA.1.1.3,2021-11-28,402
BA.1.1.4,2021-12-13,2023
BA.1.1.5,2021-12-12,381
BA.1.1.6,2021-12-05,880
BA.1.1.7,2021-12-08,965
BA.1.1.8,2021-11-26,1063
BA.1.1.9,2021-12-28,1495
BA.1.10,2021-01-09,2448
BA.1.12,2021-11-22,2803
BA.1.13,2021-11-16,4607
BA.1.13.1,2021-12-12,3675
BA.1.14,2021-01-10,10507
BA.1.14.1,2021-12-06,4385
BA.1.14.2,2021-11-30,874
BA.1.15,2020-05-30,183358
BA.1.15.1,2021-01-01,41947
BA.1.15.2,2021-12-12,2237
BA.1.15.3,2021-11-28,210
BA.1.16,2021-02-05,13513
BA.1.16.1,2022-01-01,136
BA.1.16.2,2021-12-22,98
BA.1.17,2021-01-04,71391
BA.1.17.1,2021-12-05,520
BA.1.17.2,2020-10-23,199491
BA.1.18,2021-01-01,60773
BA.1.19,2020-08-20,4032
BA.1.2,2021-12-22,153
BA.1.20,2020-09-13,38483
BA.1.21,2021-01-09,6702
BA.1.21.1,2021-01-03,1061
BA.1.22,2021-12-27,92
BA.1.23,2022-02-06,15
BA.1.24,2022-02-17,8
BA.1.3,2021-11-27,435
BA.1.4,2021-11-26,822
BA.1.5,2021-07-14,540
BA.1.6,2021-12-01,732
BA.1.7,2021-12-01,707
BA.1.8,2021-12-08,905
BA.1.9,2021-11-26,971
BA.2,2020-03-28,1217791
BA.2.1,2021-12-08,15924
BA.2.10,2020-04-03,64654
BA.2.10.1,2021-12-23,8722
BA.2.10.2,2022-01-06,1692
BA.2.10.3,2021-12-26,217
BA.2.11,2022-02-24,1162
BA.2.12,2021-12-06,7568
BA.2.12.1,2020-04-15,268512
BA.2.12.2,2022-02-05,1423
BA.2.13,2022-01-11,4555
BA.2.13.1,2022-04-09,877
BA.2.14,2022-01-13,1664
BA.2.15,2021-12-28,319
BA.2.16,2021-12-20,539
BA.2.17,2022-01-19,452
BA.2.18,2021-11-15,11107
BA.2.19,2021-12-07,613
BA.2.2,2022-01-04,4881
BA.2.2.1,2022-01-14,48
BA.2.20,2022-01-07,1602
BA.2.21,2022-01-24,2051
BA.2.22,2022-01-30,2002
BA.2.23,2020-10-11,17586
BA.2.23.1,2021-12-30,1048
BA.2.24,2022-01-06,7881
BA.2.25,2022-01-03,834
BA.2.25.1,2022-01-24,129
BA.2.26,2022-01-18,1422
BA.2.27,2021-12-21,320
BA.2.28,2022-01-13,150
BA.2.29,2022-01-17,5375
BA.2.3,2020-09-24,111246
BA.2.3.1,2022-01-10,10374
BA.2.3.10,2022-02-17,842
BA.2.3.11,2022-01-01,2403
BA.2.3.12,2022-01-28,1387
BA.2.3.13,2021-12-29,6589
BA.2.3.14,2022-01-14,1191
BA.2.3.15,2022-01-07,1762
BA.2.3.16,2021-05-06,515
BA.2.3.17,2022-01-11,2292
BA.2.3.18,2022-01-19,663
BA.2.3.19,2022-04-16,41
BA.2.3.2,2022-01-13,2234
BA.2.3.4,2022-01-24,1082
BA.2.3.5,2022-01-07,332
BA.2.3.6,2022-01-05,1320
BA.2.3.7,2022-03-08,1937
BA.2.3.8,2022-02-10,268
BA.2.3.9,2021-12-27,520
BA.2.30,2022-01-20,304
BA.2.31,2022-01-10,3143
BA.2.32,2021-12-27,1526
BA.2.33,2022-01-14,827
BA.2.34,2021-12-21,460
BA.2.35,2022-01-05,452
BA.2.36,2021-11-15,10541
BA.2.37,2021-12-06,7278
BA.2.38,2020-06-30,9254
BA.2.38.1,2022-01-22,744
BA.2.39,2022-01-17,720
BA.2.4,2021-12-30,490
BA.2.40,2022-02-06,88
BA.2.40.1,2022-02-08,2323
BA.2.41,2022-01-31,1536
BA.2.42,2022-03-09,1492
BA.2.43,2022-03-12,165
BA.2.44,2021-11-15,982
BA.2.45,2022-01-01,943
BA.2.46,2022-03-02,151
BA.2.47,2022-01-13,1280
BA.2.48,2022-01-19,2185
BA.2.49,2022-01-10,1610
BA.2.5,2022-01-07,3424
BA.2.50,2022-01-21,798
BA.2.51,2021-12-31,504
BA.2.52,2021-11-15,1530
BA.2.53,2022-03-08,445
BA.2.54,2021-11-15,739
BA.2.55,2022-02-13,262
BA.2.56,2021-06-30,4605
BA.2.56.1,2022-03-27,125
BA.2.57,2022-01-15,589
BA.2.58,2021-06-30,418
BA.2.59,2022-03-02,389
BA.2.6,2021-11-15,3087
BA.2.60,2022-04-07,185
BA.2.61,2022-02-14,445
BA.2.62,2022-01-20,706
BA.2.63,2021-12-29,246
BA.2.64,2022-01-17,681
BA.2.65,2021-10-11,4760
BA.2.66,2022-03-02,385
BA.2.67,2021-11-09,375
BA.2.68,2022-01-27,1556
BA.2.69,2022-02-10,228
BA.2.7,2021-11-15,4432
BA.2.70,2022-02-05,458
BA.2.71,2022-01-29,509
BA.2.72,2021-12-12,1039
BA.2.73,2021-12-24,751
BA.2.74,2022-01-05,1252
BA.2.75,2021-12-31,3687
BA.2.76,2022-01-04,4630
BA.2.77,2022-05-01,42
BA.2.78,2021-10-20,325
BA.2.79,2022-02-15,332
BA.2.79.1,2022-05-05,88
BA.2.8,2022-02-05,6774
BA.2.80,2022-05-04,25
BA.2.81,2022-03-11,553
BA.2.9,2020-07-21,205454
BA.2.9.1,2022-02-10,778
BA.2.9.2,2022-01-26,1019
BA.2.9.3,2020-07-01,3983
BA.2.9.4,2022-02-12,829
BA.2.9.5,2022-01-12,1674
BA.3,2021-05-05,1119
BA.3.1,2022-01-01,272
BA.4,2020-07-02,43010
BA.4.1,2020-10-14,54464
BA.4.1.1,2022-02-25,2552
BA.4.1.2,2022-04-19,244
BA.4.1.3,2022-05-09,113
BA.4.1.4,2022-05-12,132
BA.4.1.5,2022-06-06,7
BA.4.1.6,2022-06-07,13
BA.4.1.8,2022-05-24,44
BA.4.2,2022-03-08,758
BA.4.3,2022-03-28,96
BA.4.4,2022-04-03,1306
BA.4.5,2022-05-01,175
BA.4.6,2020-07-20,13368
BA.4.7,2020-07-25,649
BA.5,2020-06-30,32194
BA.5.1,2020-03-14,173883
BA.5.1.1,2022-02-20,7892
BA.5.1.2,2022-04-03,3490
BA.5.1.3,2022-02-24,6576
BA.5.1.4,2022-05-25,1015
BA.5.1.5,2022-07-04,16
BA.5.1.6,2022-06-30,4
BA.5.1.7,2022-08-01,1
BA.5.1.8,2022-08-04,1
BA.5.2,2020-07-02,106505
BA.5.2.1,2020-07-21,151919
BA.5.2.2,2022-05-02,2947
BA.5.2.3,2022-02-27,4081
BA.5.2.4,2022-05-15,507
BA.5.3,2021-07-05,3580
BA.5.3.1,2020-07-01,6474
BA.5.3.2,2021-12-20,2340
BA.5.3.3,2022-04-01,1856
BA.5.3.4,2021-11-15,855
BA.5.5,2022-01-10,39761
BA.5.6,2021-12-14,22173
BA.5.6.1,2022-07-11,1
BA.5.8,2022-06-07,27
BA.5.9,2022-06-03,184
BB.2,2021-05-19,384
BC.1,2021-01-13,6143
BC.2,2021-12-15,139
BD.1,2021-03-02,5756
BE.1,2020-06-30,18111
BE.1.1,2022-02-22,37091
BE.2,2022-04-06,781
BE.3,2022-01-19,5790
BF.1,2020-07-23,8561
BF.1.1,2022-04-28,406
BF.10,2022-06-24,14
BF.11,2022-07-04,8
BF.12,2022-06-27,3
BF.2,2022-04-30,1172
BF.3,2022-05-03,1240
BF.3.1,2022-07-07,2
BF.4,2022-04-29,2230
BF.5,2020-07-21,22048
BF.6,2022-05-20,981
BF.7,2022-06-07,40
BF.8,2022-06-20,9
BG.1,2022-04-15,281
BG.2,2022-02-26,1061
BG.3,2022-05-03,185
BG.4,2022-05-01,256
BG.5,2022-06-22,1
C.1,2020-04-12,506
C.1.1,2020-11-25,12
C.1.2,2021-05-11,360
C.10,2020-04-22,4
C.11,2020-04-01,98
C.12,2020-08-12,121
C.13,2020-03-29,46
C.14,2020-03-20,297
C.16,2020-05-29,899
C.17,2020-06-02,14
C.18,2020-07-01,197
C.19,2020-12-07,37
C.2,2020-06-09,63
C.2.1,2020-12-18,163
C.20,2020-10-26,13
C.21,2020-09-15,7
C.22,2020-04-03,14
C.23,2020-05-11,178
C.25,2020-03-20,8
C.26,2020-04-28,145
C.27,2020-04-19,50
C.28,2020-04-30,41
C.29,2020-06-25,15
C.3,2020-05-20,131
C.30,2020-08-04,571
C.30.1,2020-10-05,148
C.31,2020-08-11,69
C.32,2020-05-07,51
C.33,2020-05-18,22
C.34,2020-08-06,28
C.35,2020-04-06,1318
C.36,2020-03-13,1090
C.36.1,2020-09-17,222
C.36.2,2020-10-16,29
C.36.3,2020-04-26,1886
C.36.3.1,2021-03-29,336
C.37,2020-07-21,9952
C.37.1,2021-02-10,390
C.38,2021-02-16,134
C.39,2021-02-10,26
C.4,2020-05-19,132
C.40,2021-02-02,38
C.5,2020-09-02,9
C.6,2020-05-07,6
C.7,2020-05-11,29
C.8,2020-03-23,227
C.9,2020-05-20,31
D.2,2020-03-19,13628
D.3,2020-06-14,169
D.4,2020-08-13,15
D.5,2020-10-12,208
G.1,2020-09-10,24
K.1,2020-07-23,35
K.2,2020-07-26,23
K.3,2020-08-29,162
L.1,2020-03-26,589
L.2,2020-03-23,82
L.3,2020-07-07,295
L.4,2020-06-29,23
M.1,2020-12-07,46
M.2,2020-10-26,10
M.3,2020-09-01,15
N.1,2020-03-25,37
N.10,2020-12-29,35
N.2,2020-05-16,22
N.3,2020-04-17,178
N.4,2020-03-25,242
N.5,2020-04-25,686
N.6,2020-02-16,140
N.7,2020-06-18,59
N.8,2020-04-03,36
N.9,2020-09-25,226
P.1,2020-03-04,72501
P.1.1,2020-12-23,3000
P.1.10,2021-01-26,3796
P.1.10.1,2021-04-25,84
P.1.10.2,2021-05-17,24
P.1.11,2021-05-10,122
P.1.12,2020-12-23,1348
P.1.12.1,2021-07-17,172
P.1.13,2021-02-24,1107
P.1.14,2020-04-13,18739
P.1.15,2020-08-01,4759
P.1.16,2021-01-31,2577
P.1.17,2020-07-07,6760
P.1.17.1,2021-04-02,1220
P.1.2,2020-07-22,1131
P.1.3,2021-03-12,29
P.1.4,2021-03-19,1076
P.1.5,2021-04-03,12
P.1.6,2021-03-26,568
P.1.7,2021-03-15,4179
P.1.7.1,2021-02-07,797
P.1.8,2021-05-03,282
P.1.9,2021-04-09,280
P.2,2020-04-13,6238
P.3,2021-01-08,625
P.4,2021-02-17,270
P.5,2021-03-09,58
P.6,2020-12-02,320
P.7,2020-05-29,272
Q.1,2021-01-08,6761
Q.2,2020-12-15,1664
Q.3,2020-07-08,7492
Q.4,2020-12-13,2160
Q.5,2021-04-11,52
Q.6,2021-03-02,162
Q.7,2021-01-29,898
Q.8,2021-01-27,369
R.1,2020-01-14,11240
R.2,2021-01-04,40
S.1,2020-08-18,119
U.1,2020-12-15,78
U.2,2020-11-11,100
U.3,2021-01-11,297
Unassigned,2019-12-31,165967
V.1,2020-10-05,46
V.2,2020-10-20,33
W.1,2020-10-02,116
W.2,2020-09-23,204
W.3,2020-08-18,182
W.4,2020-06-02,741
XA,2021-01-30,45
XAA,2022-02-12,96
XAB,2022-02-25,114
XAC,2022-01-11,204
XAD,2022-02-15,56
XAE,2022-02-26,127
XAF,2022-02-22,263
XAG,2022-03-10,353
XAH,2022-02-22,82
XAJ,2022-05-25,79
XAN,2022-05-25,30
XB,2020-07-08,3420
XC,2021-08-05,25
XD,2022-01-03,33
XE,2022-01-19,2723
XF,2022-01-07,34
XG,2022-01-11,477
XH,2021-12-30,169
XJ,2022-01-19,252
XK,2022-02-10,18
XL,2022-02-06,119
XM,2021-12-17,516
XN,2022-02-13,154
XP,2022-02-22,57
XQ,2022-02-12,134
XR,2022-02-13,181
XS,2022-01-19,59
XT,2021-12-13,13
XU,2022-01-20,16
XV,2022-01-31,42
XW,2022-03-13,99
XY,2022-02-28,120
XZ,2022-03-19,108
Y.1,2020-11-03,78
Z.1,2020-06-02,318
