Lineage,MIN(collection_date),counts
A,2019-12-30,2874
A.1,2020-02-21,3430
A.11,2020-03-20,21
A.12,2020-04-10,6
A.15,2020-04-20,63
A.16,2020-02-15,62
A.17,2020-01-25,12
A.18,2020-06-21,38
A.19,2020-06-04,128
A.2,2020-02-17,1529
A.2.2,2020-03-17,609
A.2.3,2020-03-12,204
A.2.4,2020-02-04,402
A.2.5,2020-04-15,2481
A.2.5.1,2020-03-22,236
A.2.5.2,2020-04-12,1133
A.2.5.3,2021-02-23,98
A.21,2020-04-10,365
A.22,2020-03-15,14
A.23,2020-08-14,105
A.23.1,2020-06-08,1371
A.24,2020-07-10,13
A.25,2020-05-29,57
A.26,2020-03-31,13
A.27,2020-06-23,836
A.28,2020-07-28,284
A.29,2020-08-21,175
A.3,2020-03-03,639
A.30,2021-02-13,4
A.4,2020-03-11,101
A.5,2020-03-01,532
A.6,2020-01-23,209
A.7,2020-05-06,17
A.9,2020-03-21,19
AA.1,2020-08-11,133
AA.2,2020-11-14,130
AA.3,2020-10-21,37
AA.4,2020-10-22,111
AA.5,2020-12-05,62
AA.6,2020-10-13,62
AA.7,2020-11-04,109
AA.8,2020-11-25,45
AB.1,2020-12-01,114
AC.1,2020-10-21,25
AD.1,2020-11-02,240
AD.2,2020-07-21,4519
AD.2.1,2020-12-04,25
AE.1,2020-05-02,99
AE.2,2020-06-23,16
AE.3,2020-06-04,33
AE.4,2020-06-23,24
AE.5,2020-06-28,48
AE.6,2020-10-11,29
AE.7,2020-07-09,16
AE.8,2020-07-24,1999
AF.1,2020-10-16,27
AG.1,2020-09-11,15
AH.1,2021-01-05,7
AH.2,2020-08-18,47
AH.3,2020-10-23,269
AJ.1,2020-11-08,22
AK.1,2020-08-07,79
AK.2,2020-09-19,22
AL.1,2020-08-19,515
AM.1,2020-11-09,9
AM.2,2020-11-10,6
AM.3,2020-10-30,30
AM.4,2020-11-05,178
AN.1,2020-07-07,54
AP.1,2020-09-04,663
AQ.1,2020-11-08,16
AQ.2,2020-08-24,9
AS.1,2020-10-21,83
AS.2,2020-09-24,65
AT.1,2021-01-18,196
AU.1,2021-01-01,832
AU.2,2021-01-03,473
AU.3,2021-02-09,625
AV.1,2020-05-12,167
AW.1,2020-10-07,365
AY.1,2021-04-01,3514
AY.10,2021-03-11,1392
AY.100,2020-05-27,93492
AY.101,2021-01-10,7232
AY.102,2020-08-11,12849
AY.102.1,2021-03-20,213
AY.102.2,2021-07-12,305
AY.103,2020-05-07,305792
AY.103.1,2021-07-31,172
AY.103.2,2021-09-01,575
AY.104,2021-02-12,788
AY.105,2021-02-02,1217
AY.106,2021-03-06,3753
AY.107,2021-01-05,4696
AY.108,2020-08-11,955
AY.109,2020-09-11,4405
AY.11,2021-04-20,680
AY.110,2021-04-14,4091
AY.111,2021-02-05,8564
AY.112,2020-08-11,21983
AY.112.1,2021-08-08,3
AY.112.2,2021-01-10,1470
AY.112.3,2021-08-02,280
AY.113,2020-12-16,13068
AY.114,2021-05-17,5512
AY.116,2021-01-21,4204
AY.116.1,2021-03-23,4800
AY.117,2020-05-11,16287
AY.118,2020-05-24,22752
AY.119,2020-06-04,37964
AY.119.1,2020-11-09,684
AY.119.2,2021-01-11,12596
AY.120,2020-10-26,33038
AY.120.1,2020-12-27,4348
AY.120.2,2021-03-10,791
AY.120.2.1,2021-06-06,2201
AY.121,2020-05-11,33747
AY.121.1,2021-01-02,3935
AY.122,2020-05-11,212634
AY.122.1,2021-01-11,4052
AY.122.2,2021-06-22,3391
AY.122.3,2021-10-04,1147
AY.122.4,2021-05-31,2106
AY.122.5,2021-08-08,4162
AY.122.6,2021-09-11,1503
AY.123,2021-01-12,2033
AY.123.1,2021-09-30,307
AY.124,2020-05-11,9423
AY.124.1,2021-06-21,971
AY.124.1.1,2021-06-26,439
AY.125,2020-08-11,29610
AY.125.1,2021-08-02,161
AY.126,2020-09-11,43925
AY.127,2020-09-14,28213
AY.127.1,2021-09-04,209
AY.127.2,2021-10-02,100
AY.127.3,2022-02-01,4
AY.128,2021-05-15,732
AY.129,2020-05-11,15101
AY.13,2021-01-11,7135
AY.131,2021-03-29,525
AY.132,2021-07-17,615
AY.133,2021-07-16,272
AY.134,2021-06-03,2927
AY.14,2021-03-30,14727
AY.15,2021-04-18,530
AY.16,2020-09-21,3714
AY.16.1,2021-05-04,542
AY.17,2021-02-02,1345
AY.18,2021-05-11,112
AY.19,2021-04-07,252
AY.2,2021-03-31,3444
AY.20,2020-09-22,37271
AY.20.1,2021-07-23,289
AY.21,2021-05-26,401
AY.22,2020-12-02,529
AY.23,2020-03-12,17763
AY.23.1,2021-08-22,2368
AY.23.2,2021-01-09,346
AY.24,2020-07-16,3417
AY.24.1,2021-07-19,521
AY.25,2020-04-28,141724
AY.25.1,2020-05-14,131864
AY.25.1.1,2021-07-26,163
AY.25.1.2,2021-08-03,547
AY.25.2,2020-07-31,934
AY.25.3,2020-09-18,4255
AY.26,2020-07-31,46291
AY.26.1,2021-06-25,154
AY.27,2021-04-06,22001
AY.28,2021-02-16,826
AY.29,2021-01-28,85298
AY.29.1,2021-03-09,5515
AY.29.2,2021-07-16,2617
AY.3,2020-05-07,166576
AY.3.1,2020-11-20,16742
AY.3.2,2021-08-04,468
AY.3.3,2021-08-05,1090
AY.3.4,2021-11-06,293
AY.30,2020-03-31,4041
AY.31,2021-06-30,34
AY.32,2021-04-16,2247
AY.33,2020-10-26,21687
AY.33.1,2021-04-23,523
AY.33.2,2021-04-13,793
AY.34,2020-05-09,12232
AY.34.1,2020-04-01,7800
AY.34.1.1,2021-07-14,2244
AY.34.2,2021-07-12,2023
AY.35,2021-01-11,1842
AY.36,2020-08-11,13676
AY.36.1,2021-04-13,4256
AY.37,2021-02-18,3566
AY.38,2021-03-18,1913
AY.39,2020-05-28,59657
AY.39.1,2021-01-06,22058
AY.39.1.1,2021-05-09,4717
AY.39.1.2,2021-06-25,7925
AY.39.1.3,2021-07-25,2337
AY.39.1.4,2021-06-22,7006
AY.39.2,2021-07-06,1916
AY.39.3,2021-08-06,109
AY.4,2020-05-11,852728
AY.4.1,2021-05-10,771
AY.4.10,2021-08-11,1870
AY.4.11,2020-04-01,1635
AY.4.12,2021-07-21,638
AY.4.13,2021-06-08,1625
AY.4.14,2021-07-14,784
AY.4.15,2021-07-01,2499
AY.4.16,2021-08-21,186
AY.4.17,2021-08-04,1176
AY.4.2,2021-01-01,86152
AY.4.2.1,2020-12-21,18308
AY.4.2.2,2021-01-08,29071
AY.4.2.3,2021-06-07,6197
AY.4.2.4,2021-08-01,217
AY.4.2.5,2021-10-22,802
AY.4.3,2021-06-22,2126
AY.4.4,2021-01-19,3355
AY.4.5,2020-12-04,16987
AY.4.6,2020-06-11,13617
AY.4.7,2021-03-16,3662
AY.4.8,2021-06-29,4556
AY.4.9,2020-08-11,2432
AY.40,2021-07-10,1938
AY.41,2020-08-11,5277
AY.42,2020-10-06,30248
AY.42.1,2021-07-12,449
AY.43,2020-05-01,313739
AY.43.1,2021-07-19,1069
AY.43.2,2021-07-04,1390
AY.43.3,2021-07-12,2338
AY.43.4,2020-10-28,2855
AY.43.5,2021-10-22,354
AY.43.6,2021-08-23,6447
AY.43.7,2021-08-31,207
AY.43.8,2021-01-12,4005
AY.43.9,2021-09-16,938
AY.44,2020-05-20,267999
AY.45,2020-07-11,8981
AY.46,2020-06-01,12969
AY.46.1,2021-06-25,1504
AY.46.2,2021-03-09,1775
AY.46.3,2021-06-21,1659
AY.46.4,2020-11-09,6380
AY.46.5,2021-02-06,11905
AY.46.6,2020-08-11,27027
AY.46.6.1,2021-10-17,184
AY.47,2020-05-21,38498
AY.48,2021-03-25,2105
AY.49,2021-04-10,243
AY.5,2020-11-15,64483
AY.5.1,2021-06-03,304
AY.5.2,2021-05-31,562
AY.5.3,2021-06-14,2474
AY.5.4,2021-04-25,4656
AY.5.5,2021-06-02,641
AY.5.6,2021-07-30,57
AY.5.7,2021-10-05,339
AY.50,2021-03-20,1306
AY.51,2021-03-16,1694
AY.52,2021-04-01,1045
AY.53,2021-02-18,4049
AY.54,2021-02-09,13469
AY.55,2021-01-29,1459
AY.56,2021-04-13,395
AY.57,2021-01-30,2520
AY.58,2021-03-16,1144
AY.59,2021-01-08,3202
AY.6,2021-03-09,28678
AY.60,2021-05-16,1063
AY.61,2021-04-10,1984
AY.62,2021-04-06,2327
AY.63,2021-06-10,2779
AY.64,2021-03-01,2118
AY.65,2020-07-16,2151
AY.66,2021-01-07,1873
AY.67,2021-02-13,2347
AY.68,2021-02-11,3011
AY.69,2021-05-13,11399
AY.7,2021-04-01,5550
AY.7.1,2021-02-09,10934
AY.7.2,2021-03-16,2286
AY.70,2021-01-07,5607
AY.71,2020-12-15,2106
AY.72,2021-04-04,1278
AY.73,2021-04-24,1474
AY.74,2020-09-19,5984
AY.75,2020-06-05,27521
AY.75.2,2021-04-17,351
AY.75.3,2021-05-17,481
AY.76,2021-05-04,397
AY.77,2021-03-04,1037
AY.78,2021-03-29,936
AY.79,2021-01-03,2468
AY.8,2021-04-20,1652
AY.80,2021-02-09,1304
AY.81,2021-04-10,695
AY.82,2020-06-08,648
AY.83,2021-03-09,806
AY.84,2020-05-11,2140
AY.85,2021-01-09,5647
AY.86,2021-04-20,1303
AY.87,2021-05-17,1103
AY.88,2021-04-12,1422
AY.9,2021-01-20,15401
AY.9.2,2020-10-15,50534
AY.9.2.1,2021-07-27,149
AY.9.2.2,2021-08-18,1192
AY.90,2021-05-02,1869
AY.91,2021-02-08,1553
AY.91.1,2021-06-10,280
AY.92,2021-01-13,5085
AY.93,2021-04-05,4131
AY.94,2021-03-16,2540
AY.95,2021-01-07,1365
AY.98,2020-10-14,42900
AY.98.1,2020-11-04,33636
AY.98.1.1,2021-08-24,607
AY.99,2021-04-16,684
AY.99.1,2021-01-03,1522
AY.99.2,2021-02-28,27192
AZ.1,2021-01-22,441
AZ.2,2021-02-05,1248
AZ.2.1,2021-03-15,126
AZ.3,2021-02-08,704
AZ.4,2021-02-08,346
AZ.5,2021-01-06,519
AZ.6,2021-03-04,117
B,2019-12-26,12392
B.1,2020-01-01,127016
B.1.1,2020-01-04,59980
B.1.1.1,2020-03-02,3155
B.1.1.10,2020-03-01,958
B.1.1.100,2020-09-21,25
B.1.1.101,2020-03-31,100
B.1.1.107,2020-06-06,31
B.1.1.109,2020-06-01,24
B.1.1.110,2020-03-24,11
B.1.1.111,2020-05-01,95
B.1.1.112,2020-05-08,17
B.1.1.113,2020-03-15,156
B.1.1.114,2020-03-30,15
B.1.1.115,2020-05-09,112
B.1.1.116,2020-06-17,19
B.1.1.117,2020-04-07,129
B.1.1.118,2020-04-10,96
B.1.1.119,2020-04-15,32
B.1.1.12,2020-06-02,125
B.1.1.120,2020-06-01,30
B.1.1.121,2020-03-31,323
B.1.1.122,2020-05-24,15
B.1.1.123,2020-04-21,57
B.1.1.125,2020-05-21,98
B.1.1.127,2020-04-20,28
B.1.1.128,2020-06-02,173
B.1.1.129,2020-04-09,70
B.1.1.13,2020-03-14,18
B.1.1.130,2020-07-31,65
B.1.1.132,2020-03-17,69
B.1.1.133,2020-03-22,116
B.1.1.134,2020-03-28,90
B.1.1.135,2020-03-12,285
B.1.1.136,2020-06-03,52
B.1.1.137,2020-03-19,77
B.1.1.138,2020-04-04,164
B.1.1.139,2020-04-10,52
B.1.1.14,2020-04-16,58
B.1.1.141,2020-07-22,571
B.1.1.142,2020-03-03,49
B.1.1.144,2020-08-10,37
B.1.1.145,2020-05-20,22
B.1.1.147,2020-06-04,11
B.1.1.148,2020-04-12,121
B.1.1.149,2020-05-01,61
B.1.1.15,2020-06-09,63
B.1.1.152,2020-09-03,26
B.1.1.153,2020-08-06,923
B.1.1.154,2020-03-30,30
B.1.1.155,2020-06-02,14
B.1.1.157,2020-05-20,1175
B.1.1.158,2020-06-01,86
B.1.1.159,2020-08-14,223
B.1.1.16,2020-03-11,22
B.1.1.160,2020-05-03,10
B.1.1.161,2020-03-04,328
B.1.1.162,2020-03-21,14
B.1.1.163,2020-04-01,142
B.1.1.164,2020-03-16,185
B.1.1.165,2020-08-28,65
B.1.1.166,2020-03-15,34
B.1.1.168,2020-03-31,41
B.1.1.169,2020-05-04,56
B.1.1.17,2020-03-06,65
B.1.1.170,2020-07-19,810
B.1.1.171,2020-03-20,292
B.1.1.172,2020-04-06,54
B.1.1.174,2020-03-15,305
B.1.1.175,2020-04-29,14
B.1.1.176,2020-03-12,2748
B.1.1.177,2020-06-04,68
B.1.1.178,2020-04-02,26
B.1.1.180,2020-06-08,91
B.1.1.181,2020-03-22,97
B.1.1.182,2020-09-09,11
B.1.1.184,2020-04-03,16
B.1.1.185,2020-03-31,13
B.1.1.186,2020-06-25,319
B.1.1.187,2020-06-24,106
B.1.1.189,2020-04-11,642
B.1.1.190,2020-03-17,20
B.1.1.191,2020-03-20,210
B.1.1.192,2020-03-21,482
B.1.1.193,2020-09-30,12
B.1.1.194,2020-03-13,149
B.1.1.196,2020-08-26,170
B.1.1.197,2020-04-09,27
B.1.1.198,2020-03-09,685
B.1.1.200,2020-03-28,136
B.1.1.201,2020-04-29,141
B.1.1.202,2020-04-17,15
B.1.1.203,2020-05-20,57
B.1.1.204,2020-03-07,318
B.1.1.205,2020-05-16,244
B.1.1.207,2020-04-14,891
B.1.1.208,2020-03-22,79
B.1.1.209,2020-05-06,98
B.1.1.210,2020-03-21,190
B.1.1.213,2020-03-20,55
B.1.1.214,2020-02-22,19029
B.1.1.216,2020-05-06,1008
B.1.1.217,2020-04-13,349
B.1.1.218,2020-05-11,114
B.1.1.219,2020-08-01,197
B.1.1.220,2020-03-23,347
B.1.1.221,2020-03-29,94
B.1.1.222,2020-04-04,5476
B.1.1.224,2020-08-31,62
B.1.1.225,2020-06-16,131
B.1.1.226,2020-04-21,171
B.1.1.227,2020-06-13,230
B.1.1.228,2020-05-13,427
B.1.1.229,2020-08-18,156
B.1.1.230,2020-05-22,113
B.1.1.231,2020-03-13,349
B.1.1.232,2020-03-28,560
B.1.1.234,2020-07-20,70
B.1.1.236,2020-09-01,136
B.1.1.237,2020-05-15,180
B.1.1.239,2020-06-22,36
B.1.1.240,2020-08-27,211
B.1.1.241,2020-04-29,437
B.1.1.242,2020-07-21,24
B.1.1.243,2020-04-24,276
B.1.1.244,2020-04-07,157
B.1.1.249,2020-03-26,14
B.1.1.25,2020-03-31,2213
B.1.1.251,2020-06-02,147
B.1.1.253,2020-05-09,394
B.1.1.254,2020-03-14,87
B.1.1.255,2020-05-21,319
B.1.1.256,2020-04-30,76
B.1.1.257,2020-03-02,97
B.1.1.258,2020-05-26,316
B.1.1.26,2020-04-02,192
B.1.1.261,2020-03-31,107
B.1.1.262,2020-04-28,49
B.1.1.263,2020-04-03,683
B.1.1.265,2020-06-04,347
B.1.1.266,2020-05-23,82
B.1.1.267,2020-03-24,99
B.1.1.268,2020-05-31,67
B.1.1.269,2020-05-19,577
B.1.1.27,2020-03-21,173
B.1.1.270,2020-03-21,97
B.1.1.271,2020-03-11,19
B.1.1.272,2020-08-17,191
B.1.1.273,2020-05-25,147
B.1.1.274,2020-04-03,280
B.1.1.275,2020-03-19,69
B.1.1.277,2020-03-17,1272
B.1.1.279,2020-03-21,898
B.1.1.28,2020-03-05,4469
B.1.1.280,2020-07-30,338
B.1.1.282,2020-03-26,66
B.1.1.283,2020-03-16,53
B.1.1.284,2020-05-22,9521
B.1.1.285,2020-01-09,157
B.1.1.286,2020-06-04,344
B.1.1.288,2020-07-20,526
B.1.1.289,2020-03-20,481
B.1.1.29,2020-04-08,97
B.1.1.290,2020-05-11,55
B.1.1.291,2020-03-09,1427
B.1.1.294,2020-03-31,862
B.1.1.296,2020-03-20,52
B.1.1.297,2020-07-16,425
B.1.1.298,2020-06-08,1612
B.1.1.299,2020-05-22,79
B.1.1.3,2020-03-18,112
B.1.1.30,2020-05-18,13
B.1.1.300,2020-06-11,90
B.1.1.301,2020-05-22,837
B.1.1.302,2020-07-06,485
B.1.1.303,2020-06-09,362
B.1.1.304,2020-03-31,371
B.1.1.305,2020-04-10,239
B.1.1.306,2020-03-01,2099
B.1.1.307,2020-06-22,2184
B.1.1.308,2020-08-31,84
B.1.1.309,2020-03-27,194
B.1.1.31,2020-06-07,15
B.1.1.310,2020-05-15,66
B.1.1.311,2020-06-06,2720
B.1.1.312,2020-08-13,476
B.1.1.315,2020-08-01,116
B.1.1.316,2020-05-17,1332
B.1.1.317,2020-03-19,2657
B.1.1.318,2020-05-14,3974
B.1.1.319,2020-03-02,38
B.1.1.320,2020-09-01,66
B.1.1.322,2020-04-13,191
B.1.1.323,2020-02-29,80
B.1.1.324,2020-04-05,20
B.1.1.325,2020-07-16,40
B.1.1.326,2020-03-23,583
B.1.1.327,2020-11-22,7
B.1.1.328,2020-05-04,137
B.1.1.329,2020-06-02,306
B.1.1.33,2020-03-01,3244
B.1.1.330,2021-01-02,15
B.1.1.331,2020-02-26,102
B.1.1.332,2020-07-01,42
B.1.1.333,2020-01-29,964
B.1.1.334,2020-05-23,70
B.1.1.335,2020-03-19,60
B.1.1.336,2020-09-01,93
B.1.1.337,2020-06-27,354
B.1.1.338,2020-12-02,60
B.1.1.339,2020-03-19,96
B.1.1.34,2020-04-15,75
B.1.1.340,2020-04-06,21
B.1.1.341,2020-09-14,17
B.1.1.342,2020-06-16,17
B.1.1.343,2020-11-09,20
B.1.1.344,2020-04-09,107
B.1.1.345,2020-11-10,23
B.1.1.346,2020-09-21,34
B.1.1.347,2020-07-14,58
B.1.1.348,2020-04-30,1458
B.1.1.349,2020-08-04,114
B.1.1.350,2020-03-23,15
B.1.1.351,2020-09-10,401
B.1.1.352,2020-09-29,43
B.1.1.353,2020-09-08,54
B.1.1.354,2020-05-19,349
B.1.1.355,2020-09-10,62
B.1.1.356,2020-05-20,99
B.1.1.357,2020-07-01,10
B.1.1.358,2020-09-10,38
B.1.1.359,2020-04-10,56
B.1.1.360,2020-04-03,32
B.1.1.361,2020-06-04,21
B.1.1.362,2020-06-09,255
B.1.1.363,2020-03-30,165
B.1.1.364,2020-06-09,15
B.1.1.365,2020-04-29,177
B.1.1.366,2020-03-28,59
B.1.1.367,2020-05-14,18
B.1.1.368,2020-05-04,370
B.1.1.369,2020-03-02,2222
B.1.1.37,2020-03-23,5097
B.1.1.370,2020-04-05,26
B.1.1.371,2020-03-07,94
B.1.1.372,2020-03-08,1429
B.1.1.373,2020-08-07,73
B.1.1.374,2020-10-22,463
B.1.1.375,2020-09-10,81
B.1.1.376,2020-05-11,182
B.1.1.377,2020-10-19,726
B.1.1.378,2020-03-16,123
B.1.1.379,2020-04-05,31
B.1.1.38,2020-05-25,19
B.1.1.380,2020-06-12,106
B.1.1.381,2020-03-26,18
B.1.1.382,2020-04-19,30
B.1.1.383,2020-04-29,16
B.1.1.384,2020-12-28,43
B.1.1.385,2020-09-11,284
B.1.1.386,2020-05-30,17
B.1.1.387,2020-08-04,17
B.1.1.388,2020-04-26,9
B.1.1.389,2020-06-18,164
B.1.1.39,2020-07-01,1944
B.1.1.391,2020-03-14,130
B.1.1.392,2020-08-26,20
B.1.1.393,2020-11-04,4
B.1.1.394,2020-06-21,40
B.1.1.395,2020-04-27,19
B.1.1.396,2020-07-25,7
B.1.1.397,2020-08-08,477
B.1.1.398,2020-03-19,385
B.1.1.399,2020-04-15,10
B.1.1.4,2020-03-31,334
B.1.1.40,2020-04-20,32
B.1.1.400,2020-03-29,24
B.1.1.401,2020-06-01,15
B.1.1.402,2020-04-11,91
B.1.1.403,2020-09-03,40
B.1.1.404,2020-05-25,79
B.1.1.405,2020-09-14,17
B.1.1.406,2020-03-25,142
B.1.1.407,2020-06-09,75
B.1.1.408,2020-07-11,18
B.1.1.409,2020-02-28,333
B.1.1.41,2020-03-21,164
B.1.1.410,2020-05-19,28
B.1.1.411,2020-03-22,67
B.1.1.412,2020-06-18,134
B.1.1.413,2020-09-07,148
B.1.1.414,2020-07-14,7
B.1.1.415,2020-11-28,25
B.1.1.416,2020-03-19,1427
B.1.1.417,2020-06-23,181
B.1.1.418,2020-10-06,55
B.1.1.419,2020-03-14,229
B.1.1.420,2020-04-17,1369
B.1.1.421,2020-05-27,28
B.1.1.422,2020-10-26,22
B.1.1.423,2020-05-19,16
B.1.1.424,2020-04-05,35
